text,label
best advice from a mentor that i 've ever received that 's also really really big question um ? 46 times stand up when it fall 7 times stand up eight was probably one of the best words of advice that i 've received before,9
i think i 've been using that for at least five years but pretty infrequently,9
ma'am a couple of years,9
oh lord,3
well i really appreciate all the helpful tips,5
i have no experience with that man not yet at least,7
oh god,3
no,6
hello,4
well addition and subtraction will probably will probably adding and subtracting well my favorite multiplying and dividing word not worth were not really my favorite,9
no not yet,6
i 've had some experience with dragon which is essentially a. voice to text conversion software that allows people to talk into the microphone and puts the processes the words essentially i 've had some good some good experience with it and i think i could be very helpful to the organization,9
good morning um,4
most enjoyed it in school well that 's a difficult question because there 's a lot of areas in school that i find interesting history was one of my big ones i 'd also have to say that literature and grammar was important to me spelling and whatnot reading um ? i was not very good at math math is one of my unfortunate flaws i 'm not very good at math but everything else i seem to be pretty much ok with,9
i want to,9
wow,3
oh,0
pretty good,10
i would say that my skills are pretty basic for the most part but i think they are pretty exceptional not exactly advanced per se but um ? i could still learn from a bit more,10
oh danger,3
there was one time when ? an involve someone who wanted a day off and asked me to cover and i was upset at first about it but then i apologized and they were able to still get their day off,9
hi um,4
hello ?,4
one time there was a rude coworker at a supermarket i told them i had a problem with them and they apologized,9
oh man it 's like going through it,3
i was a section leader for my marching band for my section the french horns and the other section leaders kept bringing i was the section leader for the french horns in my marching band and the other section leaders kept bringing me over to help them with their sections and they did that because i was very good at like handling other people and keeping them like in line suppose,9
excuse me my throat 's not as clear today as it should be,2
i have not had any experience using those,6
cortana is on my comfort zone was afraid of being left out,10
my name is { personaname },9
i do,9
i 've been using it for several years think mercy since like i had to start writing papers think middle school times i 've been using it since then and i have n't really stopped { personname } is doing similar stuff with me,9
i 've used microsoft excel once but that was because of a misconception,9
i had to manage change when i went from high school to college because when you go from high school to college you living in a dorm and you not at home anymore and the academics get more difficult and there 's more pressure and i handled it just by trying hood and making sure i i was balanced and studied a lot but at the same time felt found time for self care,9
maybe asian bees ? maybe a 's and b 's,1
i do n't know yet,1
well i was not in my comfort zone,9
definitely my focus i struggle with that a lot definitely my focus i struggle with that a bit but i 'm getting better at that,9
excuse me,2
i have used microsoft word in the past,9
{ personname },9
no,6
see seamless omegle i do n't know yes this sounds good sorry yes that 's oh wait press that,9
well thanks a bunch,5
{ personname },9
i do n't remember anytime,1
well thanks for calling,5
what times ?,8
sorry about that,2
the time i worked with the first group is when i work with them on a team,9
i 'm sorry,2
yes great art,12
christmas schedule,9
i would actually just learn from that mistake or ask for somebody to help you,9
i would say to want more challenging,9
um,0
steak he could try again i 'm certain you 'll get it right,9
my ideal work environment is relaxed and laid back but also i 'd say laid back but at the same time also nurturing and nurturing environment when and also understanding environment would probably be more beneficial towards someone like me,9
what benefits am i going to be getting ? what ? what 's your department ?,8
yes,11
there was one time where i was doing a project with these two people then we were able to get along because we were able to talk about regular stuff,9
about five to 10 hours per week,9
an and thanks for participating,5
no,6
welcome to the net,4
yes because they helped me learn about what working is all about,12
math is my favorite subject because i really like quantitatively investigating how things work,9
my superpower would be super strength the black iron rider and arch nemesis yes some time,9
we ca n't miss girl 10 out of 10,9
yes i did,11
yes ma'am,11
please,8
and thank you for calling,5
never,6
yes ma'am,11
it certainly is uh going to be a pleasure to chat with you,4
um ? i suppose there was this one time where i had to work with another student who ? i guess we did n't see eye to eye exactly on everything so i was stuck mostly with the work i got through it but it was pretty stressful i just made sure that i told them exactly what was going on and made sure that they knew exactly what ? my plans were for this assignment and then just told them straight up what needed to happen ?,9
not that long,6
no but i love to get one,7
yes ma'am,11
how do you ideals ?,8
what will i be doing at the job ?,8
is that 's going my name is { personname },9
i do n't remember any times,1
i made a graph in school project,9
yes i have used google sheets and microsoft excel,12
i like to do something and cleans and drawn art,9
no,6
i enjoyed math math is my best subject ma'am,9
i think i 'm doing it very well,10
i 'd say i did for me pretty well,10
because of the history in culture and the people we learned about,9
i could work on being a better team player,9
dinner worry about it,9
my name is { personname },9
i was enjoying learning about our planet and the weather,9
science,9
get it right,9
yes,11
nice to meet you too,4
hello { personname },4
i 'd say my greatest personal attribute would be helpfulness and maybe kindness i always try to be as kind as i can to other people to help them get what they need but i 'm also persistent in trying to pursue um ? what it is that i want out of a job ? and i can tell this would be a great thing to put my strengths towards,9
why not the move ?,8
i think i 'm enjoying my interview,10
my learning skills,9
i did a few sports in school,9
for a really long time,9
my social skills,9
i have no idea to be honest,9
um ? let 's see definitely not superman that one 's taken um ? that 's a good question actually i do n't know what my name would be as a superhero uh for superpower though i 'd guess maybe time travel that would be a pretty cool power to have go back in time and fix things before they happen um ? and my arch nemesis is algebra man,9
hey my ideal work environment is pretty i 'd say relax not to like uptight but also one where people i can give up constructive criticism and pointers that can help you be the best version of yourself you can be and that you can ultimately perform at the best level that you need to so one that builds up on it does n't break you down,9
mostly a user views mostly a 's and a few mostly aids and phoebe mostly aids in a few days,9
no but i can try,7
not something hectic but there 's not too little work,9
well i 'm sorry,2
well for one thing my people skills sometimes are n't as great as i 'd like them to be and i think that maybe through this i could experience um ? more openness about my condition and maybe perhaps find i do n't know just something just hopefully this job if i do get it will be beneficial towards my situation,10
well thanks so much,5
there was a time involving the dentist and something was different but i was able to handle it by breathing,9
relax and helpful,9
yes ma'am i do,11
i would quickly tap you on the shoulder and say that 's the wrong number,9
yeah i again i 'm not very good at math,12
what is this face place about ?,8
yeah i can do that,11
no,6
90s and 85,9
no i did n't participate in any,6
i. i 'm sorry i ca n't really think of any difficult decisions i have to make over the top of my head,2
hi,4
hi { personname },4
hi { personname },4
well hi,4
helping,6
no no questions at all no questions at all,6
i would calmly correct you in a way that would n't be i would calmly correct you in a way that would not come off as disrespectful,9
fine,4
hi,4
0,9
so it 's nice to talk with you,4
i think i would probably let him know that he 's made the mistake and then try and maybe write some correction,9
i mean very well,10
exit netflix,9
my mentor gave me advice on not giving up,9
define spreadsheet,9
i worked on making a game board for my psychology class and,9
i beg your pardon,2
well good afternoon to you { personname },4
sorry,2
no,6
yes,11
well kind of dealt with a lot of team members and sometimes some have lost lost my temper and said things probably should 've said,9
because numbers just are better for me and i in reading it 's just not my best subject,9
i 'm sorry um,2
i say like social studies in history,9
when i had to change from an from the apricity school that online,9
i was out of my comfort zone when i had to lead a campus tour of that north campus at michigan ? because i was n't really sure what to say and i handled it just by talking about all of the buildings we were passing by and just relaxing,9
yes yes,11
i draw i play music,9
do n't give up,9
i do i say i 'm doing alright it 's not i say i 'm not doing awful but i 'm not doing amazing either,12
i do n't know,1
i think my greatest personal attribute is my willingness my commitment to get a job done as well as loyalty and humility i will take whatever does so like do something for a certain objective and i usually try not to make a big deal out of things,10
no ma'am,6
i was doing a project with someone and they were n't doing any other work so i just take the word for it,9
thanks for the tip { personname },5
sorry i roped on volvos then,2
{ personname },9
let me,9
{ personname } oh no math,9
well i tried to be nice to them and they tried being nice to me when i 've been nice to them,9
i think i would spend two or three hours,9
probably my communication skills,9
are handling it differently ?,8
oop,3
no i do not regretfully,6
how 's your day ?,8
no,6
thanks for punching in,5
i have n't,9
crap knocked it over again but that 's ok,3
do you guys get to cook anything ?,8
thanks,5
i have n't exactly used much apple software when it comes to typing i 've only really been using windows and word but that 's basically it,9
youtube,9
0,9
yes ma'am i do,11
my name is { personname },9
yeah sounds good,11
hi { personname },4
yes i can repeat that,11
i do n't know,1
24 hours every day 24 hours every day,9
well i think i should be able to read more i should be able to learn about more computer work to be honest do work on getting better at it,10
the the world accomplish accomplishment exploracion,9
what is my job entail ?,8
i 'm so sorry,2
i do n't know,1
no ma'am,6
play zombies the great site recently received word says an employee when i was meant for it i 've always received good grades,9
hi this is { personname },4
excuse me i 've got a cold today,2
how you doing ?,4
i have not worked on any sort of projects recently,9
wow that 's weird,3
i enjoy mostly just learning about different things that have happened in different lessons that we can take away from history what we can learn history i 'm enjoying learning to that as well as just facts and interesting tidbits,9
i 'm not like amazing superstar but i can do it fine at sam pretty proficient in most of the the things that it does,9
i do n't know,1
no,6
i was a counselor in training when i was 15,9
i was a part of the creative writing club,9
no ma'am no other questions,7
i read about us a solid 810 not really like a super genius idea but yeah solid 8 out of 10,9
man,3
oh,0
i used a microsoft,9
um hello um,4
hi my name is { personname },4
i never have worked with a diverse group,6
i worked as a someone who used to work in maintenance back in 2016 and prior to that i was a childcare assistant for new hope academy,9
i do n't know,1
i think maybe definitely on choosing where to go to school ? i had desires to do one thing but another opportunity seemed better and excited to pursue that opportunity and when it was hard to leave the other opportunities to close that door i knew that no one that sound itself to me is going to be the best and so even though it 's hard to we 're going to do that i knew that there would be better things waiting ahead,9
my greatest strength was intelligence,10
not very well,6
oh my goodness it 's not in english,3
sociology and computer science,9
by just being myself,9
you kinda meteorologist and meteorologie,9
thank you ma'am,5
oh no,3
on a scale of 1 to 10 probably 8 out of 10,9
i 'm sorry,2
or i am sorry,2
not that professional,6
i do n't know,1
what exactly ?,8
good,4
oh pardon me,2
raise my hand and tell you,9
because it gives me a harder work ethic,9
no,6
my superpower is doing makeup and hair,9
* * * * * *,3
all right,4
say i 'm more of a type of funny guy and i do music for living so,9
um ? i did get into i did have to get out of my comfort zone this one time and sometimes it can be overwhelming but sometimes it needs to be done to see how much what my limit is in a work environment ? um ? no stories come to mind at the moment but i 'd have to say that i have been to that place before and it 's not an easy rd to go down on when you have aspergers,9
oh my gosh the r is really moving now ok ?,3
sorry about that,2
very proficient,9
fine,4
trying my best to be on time and work really really hard,9
i do n't know,1
i got like a zombies,9
i have not worked on any such projects,9
i do n't know,1
well what we do there ? is we clean ? the break room ? we wash the tables clean the sinks we wash. the tables we clean the sinks and clean the microwaves and then we head in head in to the store and clean milk doors,9
he 'cause once in twos 2 2 is 4,9
i see,0
i 'd say i 'm quite proficient,9
at the move i handled it i have a fairly well,9
i 'm sorry i dropped the phone,2
yes working in office,11
wait until after the meeting,9
uh well thank you,5
{ personname },9
hello,4
well i need to they ask the best advice is to learn how to cut hair you do it with your right hand to your left hand yeah and you do the scissors with your right hand and the comb with your left hand,9
i 'm not sure,1
yes most likely,11
yeah.com no i do n't know,1
thanks,5
i have averaged eggs in my science classes,9
hello,4
i think a diverse group i had to work with a diverse group in i think the first college class that i ever went to it was interesting to say the least but at the same time it was also kind of difficult because we were n't on the same page with each other um ? but i worked around it and got through it,10
oh wow,3
i 'm i do it 's like lax relax but it 's also like work intensive where there 's a lot of work but it did n't feel like it was a lot of work friendly coworkers is also a huge plus,9
my superpower is flight,9
what is the most exciting part of your job ?,8
no matter how stubborn,7
i do i have used microsoft excel,9
sheesh ok,3
i would correct the mistake,9
i 'd say i 'd rate it pretty well,10
my greatest personal attribute,9
none,6
'cause we were working on the team,9
because it would help me in the future if i failed i 'll try again,9
my social anxiety,9
hi uh,4
probably my motivation i said that needs to be improved a lot,9
dang it,3
i think i am doing well,10
do n't take criticism from someone you would n't take advice from,9
well thanks for being home uh on the weekend,5
listen my creativity,9
hey { personname },4
it helps me motivate myself,9
i think sometimes when i 'm out of my comfort zone it 's in new environments with new people is i do n't actually adapt to new environments very well and one thing that i have done back usually working out like getting acclimated slowly i 'll feel like i really feel like i do n't have to or i should n't i really feel like i should n't have to rush into everything in order to enjoy myself and eventually everything will workout and i 'll be fine,9
helping others being kind and helping others being kind in helping others,9
thank you very much,5
sorry for the delay,2
yes,11
so what i 've done before is it was in an office setting and kind of sort of what i had to do was just organizational stuff getting you select out his office things works and it was it was the same type of stuff as this learn stuff works too that 's fun i think it 's helpful,9
i 'm { personname },4
hi great this is 119th i think yeah i 've got 190. i 've got hundreds and 90 1900s and 90s on 119 on every score of a test,9
yes sounds good,11
communication theory,9
and a very good afternoon to you,4
for a really really really long time,9
my name ?,8
hi { personname },4
i have n't had any experience using those so i do n't have,6
maybe nothing,1
oh i 'm sorry,2
mostly asian bees rarely sees but mostly asian math,9
well thanks,5
i was always a fan of science,9
math mostly an art really great art,9
* * * *,3
will i be getting free ? like health insurance,8
well anyway i 'm sorry,2
i do not know,1
* * *,3
i 'm sorry i keep coughing,2
try to correct it immediately be honest and assertive but also understanding that we all make mistakes,9
how do you do this ?,8
from school on teamwork,9
fine thanks,4
when i was on summer vacation,9
i. am i 'm always able to try and learn new things and i 'm a quick learner,9
i participated in the marching band an in rotc,9
yes how do you ? keep everyone encouraged to do the best on the job,8
yes ma'am i do,11
how is the ? that was a pretty average soon as about be sometimes sometimes they house around that area so 3.0,9
i experienced a lot of change over this past summer and i had to completely re-evaluate all my thoughts and beliefs and it was difficult but i managed to get through it i experienced a great change over this summer and i had to completely redo all of my thoughts from leaves experience change over the summer and i had to completely scrap all of my thoughts and beliefs i had before and rebuild it from the ground up and it was very hard but i 've managed to do it,9
hi { personname },4
hey cortana,4
i participated in the marching band the concert band and i participated in the play,9
i 'm sorry this i really feel strongly about this,2
well i just tried to get the haircut that they wanted so so it manage,9
{ personname },9
yes i 've used microsoft excel,12
i worked on,9
i do n't really have any questions so i 'm good,9
how you doing { personname } ?,4
a relaxed environment,9
i am proficient with microsoft word,9
hi { personname },4
100,9
god,3
{ personname } cheeky question they 're tricky right ? sure alright and motivator here ali i feel like motivator i would inspire other people to get going and maybe they provide like energy boosters and something and i guess my enemy would be like demotivators so something like probably something to do along like negativity and bad emotions and doubt,8
i 'm sure,11
how do you like deals ?,8
i do n't know yet,1
and i thank you,5
no,6
that 's a really tough on,9
oh man,3
good morning,4
yes,11
oh man there 's a timer,3
for bellevue months,9
oh,0
i do not know it yet,1
had to better improve my patience and not be negative,9
sorry,2
yes i put icipe tyddyn science olympiad in high school and in college i 've been participating in the em rads program which is a research program,12
is it asking me like { personname } ?,8
well i 'm sorry i interrupted um,2
i spicy food but never never in space if you would before,9
not tearable,9
shut up,3
oh my god,3
i got mostly a 's in my classes,9
i would say ma'am i think you misread the document 'cause here the real numbers yeah,9
i do n't know,1
oh whoops,3
good morning,4
i did n't see that oh my god a microsoft word microsoft word,9
probably i believe in you do n't give up,9
yes in my chem e 2 three class we were doing a project we will researching a design process and one of my team members was kind of complaining about how hard everything was and how she did n't know what she was doing an i just helped to encourage her to say you can you can do it,12
* * * * you too,3
well my god,3
yes,11
oh * * * *,3
well i work with someone i did n't like,9
thanks a lot,5
for one i got a seat but first dyesol bees and 1a,9
microsoft with numbers and words both,9
so one,9
i have n't really been busy,9
my name is { personname },9
it actually happened when i was rearranging my room,9
i 've pardon me i have used microsoft excel in the past,9
yes i do i do n't exactly have a. well it 's more of a permit actually um ? but i guess legally you could say that i do have a drivers license it 's more of a permit though,12
hello { personname },4
pretty much like i pack up food and stuff like i sometimes do some cooking as i used to do and i also do that my job,9
yes ma'am,11
do i receive a call back ? how many weeks ?,8
for about a few years,9
now we in the end we got to where we were supposed to be for the marching band set up the show and that was really good yeah in the end we got to where we needed to be in the marching band show and it was all thanks to everyones like work ethic and we eventually got to a point in the marching band show where we were all very proud of it and it was all thanks to everyone to work ethic and time that they had put in,9
no,6
hard is gon na * * * *,3
hey thanks a lot,5
sounds good to me,9
no,6
we 're like ours for like hours,9
oh boy jobs,3
but i do n't know,1
working in your kitchen with others in the kitchen,9
well thank you,5
mr { personname },9
i say i 'm very well at it,9
i think i enjoyed probably history mentioned school or music even though i did n't have music mr. time i think my base subject that i enjoyed most made in history from enemies humanities,9
and thanks for calling,5
i have none,6
oh how are you ?,4
oh,0
in most of my classes surprisingly i got a 's and b 's all but in the math section in the math section i had uh these at the most i was never really good at it but i got through somehow,9
well i want to,9
do n't give up it always gets better in the end and if you do n't get better then it 's not the end,9
not the best but i 'm very well at it,7
no,6
my mother excuse me,2
god i do n't know where this supposed to go,3
oh cats,3
the time other deal was a difficult team member is when is when they argued with me and i told and i resolved it by talking it out with them,9
hello { personname },4
i 'm great,4
i feel like i 'm doing good,10
i used to work at a supermarket,9
i 'm { personname },9
art,9
hard to tell,9
a,9
i 'm sorry,2
have i never had a problem ?,6
maybe getting good grades ?,1
if you got ta work fast when you shipping mail,9
whoops,3
i do n't really i do n't really know but i 'm pretty sure i handle it like a man,1
or how are the people like ?,8
thank you,5
i do n't know,1
um the project that i did was filling out peoples names and reaching out to people for a fund raising event for this nonprofit that worked for anyways just entering a bunch of names into there and organizing it based on address phone like i respect if they are all of that stuff and it was it was pretty time consuming but i 'd say it was worth it,9
yes i 've used microsoft excel,11
i had multiple assignments due back to back to back on the same day and i had to prioritize the assignments over each other and i. managed care at all i had multiple assignments due back to back to back on the same day and i had to figure out which assignments to do first,9
hello canvas poorly little k yes worley it will care yes but morally,9
i have used microsoft word,9
i 'd say i 'm pretty proficient i know how they work sort of but i 'm not proficient with that same word,9
i do n't know because i 'm not a person,1
sometimes there are new company policy 's at the supermarket i fixed it with or,9
wow it 's like pulling me,3
during history,9
did n't mean to cut you off there,2
oh i 'm sorry,2
i do n't know,1
my creativity,9
unfortunately,9
i do n't know what my super name my superhero name would be but my superpower would probably be a shapeshifting and my arch nemesis would probably be someone who like combats that pretty well so like someone is very smart and can like constrict me and make me not thank you i do n't know what my superhero name would be but my superpower would be shapeshifting and my arch nemesis would probably have to be someone who would be able to constrict me from doing my thing,1
yes i do,11
down dang it,3
afternoon { personname },4
yes,11
yes,11
how are you today ?,4
actually i 'm sorry not until,2
do i say it again or ?,8
i do n't really have any experience with either of those phones,9
not sure,1
* * * * lick,3
alright,0
my name is super cat and my superpower is being able to see through everything and my archnemesis is evil cat,9
hello { personname },4
great job he 's good great job,9
like a family,9
generally i got good grades like mostly asian bees i think my high school experience i got about 3.5 gpa,9
creative writing allowed me to tell how unique stories is i really enjoyed that at end well it just got ta wait hold on i enjoyed creative writing thing because it allowed me to tell stories please give me a prompt and i can make whatever i want out of it,9
i do n't know,1
activities like bowling,9
thanks for that uh reference,5
i had to make a difficult decision i think when i was working as a childcare assistant i had to it was a really rushed decision but a child was in need of assistance after they had um ? yeah i do n't think i want to go through with the rest of that,10
cancel question mark oh speak clearly question mark,9
i 've worked on several projects with other people,9
god my heart is going through the roof,3
hey thanks so much,5
yep,11
ideal work environment would be helping out i 'll be helping out until environment would be helping out environment would be helping out,9
i 'm my name is { personname },9
and my arch nemesis is the bomber,9
apple,9
wow this is trippy,3
yes ma'am i will,11
i 've used microsoft word before,9
not as much as i liked i tried to join the tennis team but it closed down so i really do n't have the opportunity,7
no i do n't have any other questions,6
well hi,4
um no,6
pardon the terminology,2
yes,11
not sure,1
i 'm i 've been using word for probably about 12 years now i used to work on the computer a lot when i was a child and the word processing unit has shown great capability towards work environment,9
i would say math,9
i 'm very hard working,9
unsure,1
it was interesting learning the different studies of communications,9
oh i got ta figure this out,9
add a team member who did n't really do any work or like he was being a little lazy so i just went up to him i just gave him straight ok. you know kind of help so if you do n't want to get on the grind a little bit that be great and he said ok. i 'm sorry and then yeah i just talked it out,9
i mean no ma'am i do n't,10
not sure,1
i use microsoft word,9
i would say it 's going pretty swell i think,10
giving up electronics for about 24 hours,9
hi { personname },4
no ma'am,6
44 hours,9
an environment where the work is doable but not too stressful,9
i would just learn to deal with it try to make peace with the person and this i know you have to work with people you do n't like so you 're going to have to learn to deal with it,9
no very badly,6
microsoft excel,9
i do n't remember any project that i 've worked on,1
ah { personname },9
maybe like 6-7 years,9
about five years now,9
i would respectfully make sure that the person who you 're talking to has the correct revenue man blue i would say wait are you sure that was the correct ave number ? i thought it was this other number,9
i think i remember they switched programs this one time in another class that i took and it was difficult getting used to so i had to learn the thing learn the the i had to learn the program very quickly and it was n't something that was exactly used to because i 'm used to windows but we had to adapt and so i did,10
done currently,9
i do n't really work for a team 'cause i 'm not really experienced with 13 a team game,9
i guess i did n't like it at first but i just got used to my new environment,1
no that 's not what i 'm asking no i do n't have any other questions,6
maybe like at 8 or 9 ?,9
i liked all the subjects at school because i 've learned from all i like all these subjects because i 've learned from all of them,9
nothing comes into mind,9
and my arch enemy would be,9
{ personname },9
um from my prior work experience i used to spend probably maybe a solid like 10 hours a week doing that that was n't online did though i did several things,9
um ? i do job training at clogher i do job training at clogher,9
sorry about my mind,2
now,9
thank you,5
sorry,2
my name is { personname },9
oops,3
yes,11
no,6
i still use apple at microsoft so i use both,9
it just reminds me that people do believe in me and care about me and that they want to see me succeed,9
my best advice would be you always try your best,9
no i do not,6
i was in homec for awhile and it was pretty interesting um ? some other classes may include taking german i took german for a little while it did n't really last long but it helped some i do know some,9
working on it,9
conversations,9
yes i 've used microsoft word and google docs,12
uh should father superhero i think i just wrote my actual name you know { personname } ? i really need a superhero name my power i 'll clabby indestructible 'cause that 's cool marge nemesis i do n't know if i was some dictator in the country,10
yes,11
dang it dang it,3
never,6
at the first group repeat again,9
when i had to choose what classes to take,9
camera successful because they give supports hey guns,9
essentially i would help clean bathrooms and trash cans and essentially move things around that needed to be moved around circulate items such as toilet paper and soap and whatnot and for the childcare assistant i would help children after daycare for my school,9
yes,11
thank you,5
oh gosh,3
