Text,Label,approved?
Good morning.,fp,yes
Hi.,fp,yes
My name is Jean.,fp,no
I'm Tina.,fp,no
Hello,fp,yes
Hi,fp,yes
"Hi,",fp,yes
"My name's Ken,",fp,no
"Hi Ken,",fp,yes
my name's Diane.,fp,no
"Thank you,",ft,yes
<<Long pause>> <<Voices in background>> Thank you.,ft,no
"Hi, this is Judy,",fp,yes
I'm from Maryland,fp,no
and I'm in California visiting right now.,fp,no
"Hi, Judy.",fp,yes
"This is Norma,",fp,no
and I live in Virginia,fp,no
"Hi,",fp,yes
how you doing Kevin?,fp,no
"Fine, thanks",fp,yes
Good morning.,fp,yes
Good morning.,fp,yes
I'm sorry.,fa,yes
"Thank you,",ft,yes
Thank you.,ft,yes
Hi.,fp,yes
How are you doing?,fp,no
"I said, how are you doing?",fp,no
I'm doing fine.,fp,no
Hi Ed.,fp,yes
Hi.,fp,yes
Hi.,fp,yes
Thank you.,ft,yes
Hi Pat.,fp,yes
Hi.,fp,yes
Thank you.,ft,yes
thank you.,ft,yes
"well, thank you very much.",ft,yes
"Hi, Maureen.",fp,yes
How are you?,fp,no
All right.,fp,yes
<<A answers the other line>> <<long pause>>. Hello sir <<A comes back to speaker B>>,fp,no
Yes.,fp,yes
"Yes,",fp,yes
I'm sorry to keep you waiting,fa,yes
Well thanks a lot.,ft,yes
"Well, hi.",fp,yes
Thank you for noticing,ft,yes
I'm sorry,fa,yes
"Thank you,",ft,yes
I'm sorry.,fa,yes
Hello.,fp,yes
Hello.,fp,yes
"Hello,",fp,yes
"Hello,",fp,yes
Hi.,fp,yes
Hello.,fp,yes
"Yes,",fp,yes
Thank you.,ft,yes
"Well, good afternoon to you, Mary.",fp,yes
Thank you,ft,yes
Hello.,fp,yes
Hello,fp,yes
"Hi, um,",fp,yes
this is Betty,fp,no
I'm Nola,fp,no
"Well, hi,",fp,yes
Hi.,fp,yes
"Good morning. Um,",fp,yes
"So, it's nice to talk with you",fp,yes
"thanks for that, uh, reference.",ft,yes
"And primarily, I mean, I, now I'm probably going to, going to upset you.",fa,no
"Hi,",fp,yes
this is Donna Donahue.,fp,no
"Hi, Donna.",fp,yes
Hi.,fp,yes
"Oh, I'm sorry.",fa,yes
"Well anyway, I'm sorry",fa,yes
"Oh, I'm sorry.",fa,yes
This is Archie.,fp,no
"Hi, Archie.",fp,yes
I'm Sharon.,fp,yes
Sorry.,fa,yes
"<<Covers the phone and talks to child>> Sorry,",fa,no
sorry.,fa,yes
"I'm sorry,",fa,yes
Hi.,fp,yes
"UNK> Hi, uh,",fp,no
Hello.,fp,yes
Hello there.,fp,yes
So hello Mary.,fp,yes
"Hi,",fp,yes
"my name is Donna,",fp,no
"and I'm calling, calling from Plano, Texas.",fp,no
I'm Jay in Dallas.,fp,no
"I'm sorry, um",fa,yes
"and I apologize if you're a bird lover,",fa,yes
I'm sorry.,fa,yes
Sorry for the delay.,fa,yes
"Thank you, ma'am.",ft,yes
I'm sorry,fa,yes
"Hi, Wanet <<this is his last name>>.",fp,no
How are you?,fp,no
I'm doing fine.,fp,no
thanks.,ft,yes
thanks.,ft,yes
"Oh, pardon me,",fa,yes
Hello.,fp,yes
"Hi, uh,",fp,yes
