 It tells me to keep pushing forward despite adversity and despite difficulty  and I think that. Applying for a job when you have Aspergers syndrome  it can be difficult at times  so it's best to. Best to. Push forward anyway. Despite the uncomfortable  the feeling of discomfort that you might have.,sno
 My ideal work environment is relaxed and laid back  but also. I'd say. Laid back but at the same time also nurturing and nurturing environment. When and also understanding environment. Would probably be more beneficial towards someone like me.,sno
 I had to make a difficult decision. I think when I was working as a childcare assistant. I had to. It was a really rushed decision  but a child was in need of. Assistance after they had. Um? Yeah  I don't think I want to go through with the rest of that.,so
 Um? I did get into. I did have to get out of my comfort zone this one time and. Sometimes it can be overwhelming  but sometimes it needs to be done to see how much. What my limit is in a work environment? Um? No stories come to mind at the moment  but. I'd have to say that I have been to that place before. And it's not an easy Rd to go down on when you have Aspergers.,sno
 Try to correct it immediately. Be honest and assertive. But also understanding that we all make mistakes.,sno
 Um? I suppose there was this one time where I had to work with another student. Who? I guess we didn't see eye to eye exactly on everything  so I was stuck mostly with the work. I got through it. But it was pretty stressful. I just made sure that I told them exactly what was going on and made sure that they. Knew exactly what? My plans were. For this assignment  and then just told them straight up. What needed to happen?,sno
 I think I remember they switched programs this one time in another class that I took. And it was difficult getting used to  so I had to. Learn the thing. Learn the. The. I had to learn the program very quickly. And. It wasn't something that was exactly used to because I'm used to Windows  but. We had to adapt  and so I did.,so
 I think. A diverse group. I had to work with a diverse group in. I think the first college class that I ever went to. It was interesting to say the least  but at the same time it was also kind of difficult because we weren't on the same page with each other. Um? But I worked around it and got through it.,so
 Yes I do. I don't exactly have a. Well  it's more of a permit actually. Um? But I guess legally  you could say that I do have a drivers license. It's more of a permit though.,y-d
 What exactly? ,query
 SG-1. {personName} net.,sno
 Sounds good to me.,sno
 Yes ma'am. ID yes ma'am ID.,y
 I used to work at a grocery store at Publix  down the Shore Pike for about four years.,sno
 I have no experience with that man. Not yet at least.,n-d
 I still use Apple at Microsoft  so I use both.,sno
 I say I'm very well at it.,sno
Not the best  but I'm very well at it.,n-d
 For Bellevue months.,sno
 44 hours.,sno
alright,ack
Oh,ack
 I would say math.,sno
 I would say to want more challenging.,sno
 For one  I got a seat  but first dyesol bees and 1A.,sno
 I see.,ack
 He would be the question again please.,query
You might repeat that again  please,query
Oh danger.,fe
I have no idea to be honest.,sno
Oh I gotta figure this out.,sno
 Say I'm more of a type of funny guy and I do music for living so.,sno
 To be more focused on my task  instead of doing something else  I talk into my friends and stuff like that.,sno
 I would say it's going pretty swell  I think.,so
 My name is {personaName}.,sno
 Yes  ma'am.,y
 Um? I do job training at. Clogher I do. Job training at Clogher.,sno
 Well  what we do there? Is we clean? The break room? We wash the tables  clean the sinks. We wash. The tables. We clean the sinks. And clean the microwaves. And then we head in. Head in. To the store. And clean milk doors.,sno
 I have used Microsoft Word.,sno
 I do I have used. Microsoft Excel.,sno
um,ack
 I don't remember any project that I've worked on.,dno
 I really enjoyed math.,sno
 Well. Addition and subtraction. Will probably. Will probably. Adding and subtracting. Well  my favorite multiplying and dividing. Word. Not worth. Were not. Really my favorite.,sno
 I did not participate in any.,n
 I do not know.,dno
 My kindness.,sno
 Let's say probably an 8. ,sno
 I mean very well.,so
I think I'm doing well.,so
 Superman. My superpower would be flying. And. My arch nemesis. Would probably be no one.,sno
 Do your best at your job.,sno
 Because I know. I can do very well at my job.,sno
 I have none.,n
 I cannot.,n
 I don't remember any times.,dno
Well  I was not in my comfort zone.,sno
 I would. Tell you what the correct answer is.,sno
 I said  hey? There might be a better solution. To this problem.,sno
 I don't remember anytime.,dno
 I never have worked with a diverse group.,n
 They will. They will. They were. A great team to work with.,sno
No ma'am,n
No ma'am,n
{personName},sno
 Yes.,y
 No.,n
 No.,n
 None.,n
oh,ack
 From school on teamwork.,sno
 Social studies and. Imagine native writing. And.,sno
 Because of the history in culture and the people we learned about.,sno
 90s and. 85,sno
 none.,n
 What do you mean?,query
 My learning skills.,sno
 {personName}.,sno
 I don't know.,dno
But for the powers Hydrokinesis is Superstrength and shadow clones.,sno
And my arch enemy would be.,sno
 I don't know.,dno
 I'm not sure.,dno
 I'm not sure.,dno
 When I was on summer vacation.,sno
 When I was at Boot camp but I just had to make the most of it.,sno
 Helping,n
 have I never had a problem?,n
 I never managed to help.,n
 By just being myself.,sno
 'cause we were working on the team.,sno
 No.,n
 No man. ,n
{personName}.,sno
Yes.,y
 Yes. Yes.,y
 I worked as a dishwasher at Cracker Barrel.,sno
 Yes  I've used Microsoft Word and Google Docs.,y-d
 Yes  I have used Google Sheets and Microsoft Excel.,y-d
 I worked on an engineering design project where I helped design A wind turbine with a group of other students and I learn leadership skills by helping organize our meetings and helping encourage them to work hard. And I also learn technical skills because I help do the transmission. For the wind turbine.,sno
 Math.,sno
 Math is my favorite subject because. I really like quantitatively investigating how things work.,sno
 I got mostly A's in my classes.,sno
 Yes  I put icipe tyddyn science Olympiad in high school. And. In college I've been participating in the EM RADS program  which is a research program.,y-d
 I'm poster viewing.,sno
 Probably my communication skills.,sno
 I'm performing alright  I think.,so
 My name is. Super Cat. And. My superpower is being able to see through everything and my archnemesis is evil cat.,sno
 Mypillow mentor in. Told me that no matter what  you shouldn't. Worry about. Success or failure. You should just. Try hard to do the best you can.,sno
 My ideal work environment is somewhere. Well  I can succeed while still being around other people and. Well  I can focus without being nervous.,sno
 Or one time? In when I was at Cracker Barrel as a dishwasher  I had to. Decide. Otherwise  I would stand up to one of my coworkers who wasn't being very respectable of me  so that was difficult.,sno
 I was out of my comfort zone when I had to lead a campus tour. Of that North campus at Michigan? Because I wasn't really sure what to say and I handled it just by talking about all of the buildings we were passing by and just relaxing.,sno
 I would respectfully make sure that the person who you're talking to has the correct revenue man Blue. I would say wait  Are you sure that was the correct Ave number? I thought it was. This other number.,sno
 Yes  in my chem E 2 three class we were doing a project we will. Researching a design process and one of my team members was kind of complaining about how hard everything was and how she. Didn't know what she was doing an I just helped to encourage her to say you can. You can do it.,y-d
 I had to manage change when I went from high school to college because when you go from high school to college  you living in a dorm and you not at home anymore and the academics get more difficult and there's more pressure and I handled it just by trying hood and making sure I I was balanced and studied a lot. But at the same time felt found time for self care.,sno
 I work with a diverse group in my classes  like for example my chemical engineering class with I work with. People from lots of different backgrounds and that that helps. So we have more. Ideas 'cause they get? People have different ideas when they come from different backgrounds.,sno
 Yes  it was successful because we not only got the project done  but we did a good job presenting an one of the reasons was because we worked hard. Is another reason is because. Everyone had different ideas.,y-d
 Yes  I do have a drivers license.,y
 Yes  how do you?  Keep everyone encouraged to do the best on the job. ,query
 Yes. ,y
What is the most exciting part of your job? ,query
 What kinds of programming languages do you use? ,query
 No  I don't have any other questions.,n
 Thank you. ,ft
{personName} will. OK hello. OK. Hello.,sno
 see seamless omegle. I don't know. Yes  this sounds good  sorry. Yes  that's oh  wait  press that.,sno
 Kind of.,sno
 Working in your kitchen. With others in the kitchen.,sno
 I don't know question Mark.,dno
 I didn't see that  Oh my God. A Microsoft Word. Microsoft Word.,sno
 Yes  I can repeat that.,y
 {personName}. Oh no math.,sno
 He 'cause once in twos. 2 + 2 is 4.,sno
 100%.,sno
 Activities like bowling.,sno
 YouTube.,sno
I'm just kidding.,sno
 YouTube.,sno
I don't know.,dno
 Believe the unexpected.,sno
 Splendid.,so
 Mr {personName}.,sno
 Great job. He's good. Great job.,sno
 Cancel question mark. Oh  speak clearly. Question mark.,sno
 The. The world. Accomplish. Accomplishment. Exploracion,sno
 Going to the other room.,sno
 Wait until after the meeting.,sno
 Dinner. Worry about it.,sno
Money change. Question mark. Money. Change. Anne. Repeat that.,sno
 At the first group. Repeat again.,sno
Are handling it differently?,query
 Working on it.,sno
 What is this face place about? ,query
How's your day? ,query
 What times? ,query
What should I wear? ,query
 Do you guys get to cook anything? ,query
 Thanks for meeting. ,ft
 Conversations. ,sno
 Do I receive a call back? How many weeks? ,query
 Christmas schedule. ,sno
 Oh  how are you?,fp
{personName}.,sno
 Yeah  sounds good.,y
 Yeah  I work at a. And like culinary.,y-d
 Pretty much like I pack up food and stuff like I sometimes do some cooking. As I used to do and I also do that my job.,sno
 Yeah I have a lot of experience with the word like the word things like you know PowerPoint  Excel spreadsheets. And yeah.,y-d
 I read about us a solid 810  not really like a super genius idea. But yeah  solid 8 out of 10.,sno
 Really all my life 'cause I always. But I had like a project or something always used it so. About 13 years maybe.,sno
 Like I said before  I am experience with Microsoft Excel.,sno
let me,sno
 Let me finish. Well  I like outdoor cover movie for once and I guess I learned a lot of team building 'cause they required a lot of spreadsheet uses of what people are going to do work for the script. Yeah yeah.,sno
 I say like social studies in history.,sno
 I don't know.,dno
I just like learning about the past and stuff. ,sno
I guess interest me.,dno
 How is the? That was a pretty average soon as about be sometimes. Sometimes they house around that area  so 3.0.,sno
 Not as much as I liked. I tried to join the tennis team but it closed down so I really don't have the opportunity.,n-d
 My greatest personal attribute. ,sno
Man.,fe
That's a really tough on.,sno
An element.,sno
 I mean  I guess my curiosity and my eagerness to learn new things that interest me.,so
Alright  I'll call it  but no.,ack
 Probably my motivation  I said that needs to be improved a lot.,sno
 I do. I say I'm doing alright  it's not. I say I'm not doing awful  but I'm not doing amazing either.,y-d
 Uh  should father superhero. I think I just wrote my actual name. You know {personName}? I really need a superhero name. My power. I'll clabby indestructible 'cause that's cool. Marge nemesis I don't know if I was some dictator in the country.,so
 Don't give up. It always gets better in the end  and if you don't get better then it's not the end.,sno
 I'm I do. It's like LAX  relax. But it's also like work intensive where there's a lot of work  but it didn't feel like it was a lot of work. Friendly coworkers is also a huge plus.,sno
 I. I'm sorry  I can't really think of any difficult decisions I have to make over the top of my head.,fa
 Probably at school. Because. I want to teach always tries to make me do like. Projects other people rather be alone. 'cause 'cause I can't rely on anyone. So what I do I just. I just suck it up.,sno
 I would say ma'am. I think you misread the document. 'cause here the real numbers yeah.,sno
 Add a team member who didn't really do any work or like he was being a little lazy  so I just went up to him. I just gave him straight OK. You know  kind of help  so if you don't want to. Get on the grind a little bit that be great and he said OK. I'm sorry and then yeah I just talked it out.,sno
 I want to. ,sno
Why not the move?,query
At the move I handled it  I have a fairly well. ,sno
 I guess I didn't like it at first  but I just got used to my new environment.,dno
 I work with a diverse group right now.,sno
 No  I do not regretfully.,n
 Um? ,ack
 Or how are the people like? ,query
 What benefits am I going to be getting?  What?  What's your Department? ,query
 Will I be getting free?  Like health insurance. ,query
 No  that's not what I'm asking.  No  I don't have any other questions. ,n
 My name is {personName}.,sno
 Yes.,y
 Yes.,y
 Yes.,y
 I don't know.,dno
 I don't know yet.,dno
i worked on,sno
 I worked on art  drawing  coloring and other stuff.,sno
 Maybe math?,sno
 Because of addition and subtraction.,sno
 Maybe Asian bees? Maybe A's and B's.,dno
 Yes I did.,y
 I don't know.,dno
 I don't know.,dno
 I don't know yet.,dno
 I don't know it yet.,dno
 I don't know yet.,dno
 Maybe getting good grades?,dno
 I don't know.,dno
 I don't know.,dno
 Maybe nothing.,dno
 I don't know.,dno
 I don't know.,dno
 I do not know it yet.,dno
 Maybe in the morning?,dno
 Yes.,y
 Um  no. ,n
 My name is {personName}.,sno
 That sounds great  thanks.,sno
 I have some prior work experience. I've done internships that helped me prepare for this work experience and I think they've been good and beneficial  but that's about the extent of my work experience so far.,sno
 So what I've done before is  it was in an office setting and kind of sort of what I had to do was just. Organizational stuff getting you select out. His office things works and it was. It was the same type of stuff as this. Learn stuff works too. That's fun. I think it's helpful.,sno
 Yes  I've been using Microsoft Word as well as Google sheets.,y-d
 I'd say I'd rate it pretty well.,so
 I'm not like amazing superstar  but I can do it fine at Sam. Pretty proficient in most of the. The things that it does.,sno
 I've been using it for several years. Think mercy since like. I had to start writing papers  think middle school times. I've been using it since then and I haven't really stopped. {personName} is doing similar stuff with me.,sno
 I guess I have used. Microsoft XLS well as the Google program think that indeed we will sheets the other ones. I haven't. Not as much as I have with word processors  but I had that experience.,sno
 I'd say I'm pretty proficient  I know how they work  sort of  but I'm not proficient with that same word.,sno
 I think I've been using that for at least five years  but pretty infrequently.,sno
 Um  from my prior work experience  I used to spend probably. Maybe a solid like 10 hours a week doing that. That wasn't online did though I did several things.,sno
 Yeah  I can do that.,y
so one,sno
 Um  the project that I did was. Filling out peoples names and reaching out to people for a fund raising event for this nonprofit that worked for anyways. Just entering a bunch of names into there and organizing it based on address phone. Like I respect if they are all of that stuff and it was  it was pretty time consuming  but I'd say it was worth it.,sno
 I think I enjoyed probably history mentioned school or music  even though I didn't have music. Mr. Time  I think my base subject that I enjoyed most made in history from enemies. Humanities.,sno
 I enjoy mostly just learning about different things that have happened in different lessons that we can take away from history. What we can learn. History I'm enjoying learning to that as well as just facts and interesting tidbits.,sno
 Generally I got good grades like mostly Asian bees. I think my high school experience. I got about 3.5 GPA.,sno
 I did a few sports in school.,sno
 I think my greatest personal attribute is my willingness  my commitment. To get a job done. As well as loyalty and humility  I will take whatever does. So like do something for a certain objective. And I usually try not to make a big deal out of things.,so
 I think maybe sometimes my work ethic isn't quite as good. I think time management is something I've always struggled with. In something that I would like to learn and probably need to learn to get better at.,so
 I'd say I did for me pretty well.,so
 That's a good question. I think my name. I'm not really sure what my name would be. I think it might be. Ice mankind because I can. Get some flash power and also shoot I some people. And. That would be my main power as well as having cave and stuff in my iceman  my enemy. Would be. A fire breathing demon goddess is used to destroy everything that I like.,sno
 That's a good one  I think. Probably the best advice is just don't give up. Always believe that things will workout and that things will workout and acting. That is true in my own life and. Try to believe it and try to apply it to everything I do.,sno
 I think it's good for me because sometimes if I get like dejected or like  I feel like I can't do it. It's just remembering that. This all this is only like my favorite. Things will eventually be past. This is just get through this and you'll be done and will be so so worth it once you get it done.,so
 Hey  my ideal work environment is pretty. I'd say relax  not to like uptight  but also one where people. I can give up constructive criticism and pointers that can help you be the best version of yourself you can be and that you can ultimately perform at the best level that you need to. So one that builds up on it doesn't break you down.,sno
 I think maybe definitely. On choosing. Where to go to school? I had desires to do one thing. But another opportunity seemed better and excited to pursue that opportunity. And when it was hard to leave the other opportunities to close that door  I knew that. No one that sound itself to me is going to be the best  and so even though it's hard to. We're going to do that. I knew that there would be better things waiting ahead.,sno
 I think sometimes when I'm out of my comfort zone  it's in new environments with new people is I don't actually adapt to new environments very well. And one thing that I have done. Back usually working out like getting acclimated slowly. I'll feel like I really feel like I don't have to or I shouldn't. I really feel like I shouldn't have to rush into everything in order to enjoy myself and eventually everything will workout and I'll be fine.,sno
 I think I would probably let him know that he's made the mistake. And then try and maybe write some correction.,sno
 {personName},sno
 Yes.,y
 I do.,sno
 Yes  I've used Microsoft Word and Microsoft PowerPoint.,y
 No.,n
 I have not worked on any sort of projects recently.,sno
 Communication theory.,sno
 It was interesting learning the different studies of communications.,sno
 Bees and aids. And days. I got bees and AA.,sno
 I was a part of the creative writing Club.,sno
 My creativity.,sno
 My. Social anxiety.,sno
 Pretty good.,so
 Hi my name is {personName}. ,fp
My superpower is flight.,sno
 And my arch nemesis is the bomber.,sno
 Don't give up.,sno
 It helps me motivate myself.,sno
 A relaxed environment.,sno
 Nothing comes into mind.,sno
 There was a time involving the dentist and something was different  but I was able to handle it by breathing.,sno
 I would quickly tap you on the shoulder and say that's the wrong number.,sno
 There was one time. When? An involve someone who. Wanted a day off and asked me to cover and I was upset at first about it  but then I apologized and they were able to still get their day off.,sno
 Usually when it comes to my mom getting a new car. I was able to handle it by writing it for a bit.,sno
 There was one time where I was doing a project with these two people. Then we were able to get along. Because we were able to talk about regular stuff.,sno
 We were because we were able to talk about our research and. Us and about our regular lives.,so
 Yes.,y
 No. ,n
 Feed button corner. Be back in court. Christmas.,sno
 Yep.,y
 I volunteered for. My band. 4:00 AM. No  I volunteered for my band to do a food service.,sno
 Yes  I used Word document. XL. PowerPoint. Yes  I've used word  Excel and PowerPoint.,y-d
 On a scale of 1 to 10  probably 8 out of 10.,sno
 About five years now.,sno
 Yes  I've used Microsoft Excel.,y-d
 I'd say I'm quite proficient.,sno
 About five years now.,sno
 About five to 10 hours per week.,sno
 Yes  most likely.,y
 I can't remember if I have.,dno
 During. History.,sno
 I enjoyed learning what people did in the past so that I don't make the same mistakes.,sno
 Mostly a user views. Mostly A's and a few. Mostly AIDS and Phoebe. Mostly aids in a few days.,sno
 I participated in the marching band  the concert band and I participated in the play.,sno
 I'm very hard working.,sno
 Not tearable,sno
 I don't know what my super name  my superhero name would be  but my superpower would probably be a shapeshifting and my arch nemesis would probably be someone who like combats that pretty well. So  like someone is very smart and can like. Constrict me and make me not. Thank you. I don't know what my superhero name would be  but my superpower would be shapeshifting and my arch nemesis would probably have to be someone who would be able to constrict me from doing my thing.,dno
 Probably I believe in you don't give up.,sno
 It just reminds me that people do believe in me and care about me and that they want to see me succeed.,sno
 Not something hectic  but there's not too little work.,sno
 I had multiple assignments due back to back to back on the same day and I had to prioritize the assignments over each other and I. Managed care at all. I had multiple assignments due back to back to back on the same day and I had to figure out which assignments to do first.,sno
 I I was in a public setting and I didn't want to be there anymore because they were talking about topics I didn't want to talk about. So I just like came up with an excuse that I had to go to the bathroom and I just left and did not go back.,sno
 I would calmly. Correct you in a way that wouldn't be. I would calmly correct you in a way that would not come off as disrespectful.,sno
 In marching Band Camp  one of my band members was acting up and he would not stop acting up after I told him that if he wouldn't he would have to run laps and he continued and I made him run laps. How do you stop? There was a time in marching band Camp when a band member was acting up and I told him repeatedly to stop it and he wouldn't. So I made him run laps.,sno
 I experienced a lot of change over this past summer and I had to completely re-evaluate all my. Thoughts and beliefs and it was difficult  but I managed to get through it. I experienced a great change over this summer and I had to completely. Redo all of my thoughts from leaves. Experience change over the summer and I had to completely scrap all of my thoughts and beliefs I had before and rebuild it from the ground up and it was very hard  but I've managed to do it.,sno
 I was a section leader for my marching band for my section  the French horns and. The other section leaders kept bringing. I was the section leader for the French horns in my marching band and the other section leaders kept bringing me over to help them with their sections and they did that because I was very good at like handling other people and keeping them like in line suppose.,sno
 Now we in the end we got to where we were supposed to be for the marching band. Set up the show. And that was really good. Yeah  in the end we got to where we needed to be in the marching band show and it was all thanks to everyones like work ethic and. We eventually got to a point in the marching band show where we were all very proud of it and it was all thanks to everyone to work ethic and time that they had put in.,sno
 No  I do not.,n
 No  not talk with my heart.  No  not off the top of my head. ,n-d
{personName}.,sno
 Yes.,y
 No.,n
 I use Microsoft Word.,sno
 Yes  I've used Microsoft Excel.,y
 Not that professional.,n
 Not that long.,n
0,sno
 Yes.,y
 I made a graph in school project.,sno
 Sociology and computer science.,sno
 Because I liked working with computers.,so
 Even see sometimes it is.,sno
 No  I didn't participate in any.,n
 I. AM. I'm always able to try and learn new things and I'm a quick learner.,sno
 My social skills.,sno
 Find.,sno
 I like my superpower to be. Superstrat in my heart and this would be. People who are bad and my name would be. Strongly.,sno
 I don't know.,dno
 Relax. And helpful.,sno
 When I had to choose what classes to take.,sno
 I was out of my comfort zone once when. Bunch of people showed up at my house for a party. And I handled it by being in my room most of the time.,sno
 Raise my hand and tell you.,sno
 I was doing a project with someone and they weren't doing any other work. So I just take the word for it.,sno
 When I had to change from an from the Apricity school that online,sno
order now?,query
No.,n
Now.,sno
No.,n
Yes.,y
No.,n
 I've used Microsoft Word.,sno
 I have not had any experience using those.,n
 I haven't had any experience using those. So I don't have.,n
 Never.,n
0,sno
 Yes.,y
 I worked on making a game board for my psychology class and.,sno
History,sno
 The stories behind all the people that.,sno
 A.,sno
 No.,n
 My hard work's work ethic.,sno
 My focus.,sno
 Not very well.,n
 Black Amethyst the ability to stop time.,sno
 act like you're personally involved with your work.,sno
 Because it gives me a harder work ethic.,sno
 An environment where the work is doable but not too stressful.,sno
 No.,n
 I spicy food but never  never in space. If you would before.,sno
 Yes.,y
 Never.,n
 On the psychology game quiz  I worked with multiple people.,sno
 Yes.,y
 No.,n
 No. ,n
 I'm my name is {personName}.,sno
 Yes  sounds good.,y
Done currently.,sno
  No.,n
 Absolutely.,y
 I've used Microsoft Word before.,sno
 I'd say maybe about 8 out of 10.,sno
 Hard to tell.,sno
 Maybe like 6-7 years.,sno
 I've used Microsoft Excel once  but that was because of a misconception.,sno
well we've,sno
 We've worked on and research projects before about specific people in the past.,sno
 I enjoyed writing. It was fun. Did tell stories. I enjoyed creative writing.,sno
 Creative writing allowed me to tell how unique stories is. I really enjoyed that. At end  well  it just gotta wait. Hold on. I enjoyed creative writing thing because it allowed me to tell stories. Please give me a prompt and I can make whatever I want out of it.,sno
 I got pretty decent grades. It's they. They were pretty good.,sno
 I participated in both band and choir previously  though I'm not enrolled in them anymore.,sno
 I guess my greatest personal attribute is to be able to listen and take multiple sides of the story  and I guess kind of well. Hold on. And my best personal attributes is definitely too like remain charismatic and listen in on things. I guess right now. My best personal attribute is 2. My best personal attribute is to remain open minded. I guess I can listen in on both sides of the story and kind of get a consensus going.,sno
 Definitely my focus. I struggle with that a lot. Definitely my focus. I struggle with that a bit  but I'm getting better at that.,sno
 Maybe had nine out of 10. ,so
I could definitely do better in some parts.,sno
 {personName} cheeky question. They're tricky  right? Sure  alright. And. Motivator here Ali I feel like. Motivator I would inspire other people to get going and maybe they provide like energy boosters and something. And I guess my enemy would be like demotivators so something like probably something to do along like negativity and bad emotions and doubt.,query
 Don't take criticism from someone you wouldn't take advice from.,sno
 My name?,query
 Yes.,y
 I don't think so.,sno
 Probably Apple.,sno
 Apple.,sno
 I've just done some daycamp stuff from the past.,sno
 Math  mostly an art. Really great art.,sno
 I was really good.,sno
 Mostly Asian bees. Rarely sees. But mostly Asian math.,sno
Fiscal?,query
 No  no  I said this.,n
 I don't know because I'm not a person.,dno
 Yes  great art.,y-d
 Hello canvas. Poorly. Little K yes Worley. It will care  yes  but morally.,sno
 My superpower would be super strength. The Black Iron rider. And arch nemesis. Yes  some time.,sno
 Get it right.,sno
How do you ideals?,query
Try to get ready.,sno
 How do you like deals? ,query
I like to do something and cleans and drawn art.,sno
 Probably make you think of 1 right now.,sno
 Bad.,sno
 Exit. Netflix.,sno
 {personName} apologizing.,sno
 Alright  great Fortunately.,sno
 I don't know.,dno
 No  I do not have a drivers license that we really do wish that did.,n-d
 Yeah  how do I get an art job?  Close to the town. ,query
 Hello {personName}.,fp
 My name is {personName}.,sno
 Yes  ma'am.,y
 Yes  ma'am.,y
 I used to work at a supermarket.,sno
 I have used Microsoft Word in the past.,sno
 I am proficient with Microsoft Word.,sno
 I've been using Microsoft Word for around 10 years.,sno
 I've. Pardon me  I have used Microsoft Excel in the past.,sno
unfortunately,sno
 I have not worked on any such projects.,sno
 Science.,sno
